Name,Type,Equipment
Rope Jumping,Cardio,Other
Step Mill,Cardio,Machine
Bicycling,Cardio,Other
"Rowing, Stationary",Cardio,Machine
Elliptical Trainer,Cardio,Machine
Stairmaster,Cardio,Machine
Burpee,Cardio,Body Only
Trail Running/Walking,Cardio,None
Skating,Cardio,Other
Jog In Place,Cardio,Body Only
"Running, Treadmill",Cardio,Machine
"Bicycling, Stationary",Cardio,Machine
Jogging-Treadmill,Cardio,Machine
Recumbent Bike,Cardio,Machine
"Walking, Treadmill",Cardio,Machine
Dumbbell Bench Press,Chest,Dumbbell
Pushups,Chest,Body Only
Dumbbell Flyes,Chest,Dumbbell
Incline Dumbbell Press,Chest,Dumbbell
Low Cable Crossover,Chest,Cable
Decline Dumbbell Flyes,Chest,Dumbbell
Dips - Chest Version,Chest,Other
Barbell Bench Press - Medium Grip,Chest,Barbell
Bodyweight Flyes,Chest,E-Z Curl Bar
Incline Cable Flye,Chest,Cable
Wide-Grip Decline Barbell Bench Press,Chest,Barbell
Incline Dumbbell Press Reverse-Grip,Chest,Dumbbell
Wide-Grip Barbell Bench Press,Chest,Barbell
Decline Barbell Bench Press,Chest,Barbell
Incline Push-Up,Chest,Body Only
Rickshaw Carry,Forearms,Other
Wrist Rotations with Straight Bar,Forearms,Barbell
Palms-Down Wrist Curl Over A Bench,Forearms,Barbell
Palms-Up Barbell Wrist Curl Over A Bench,Forearms,Barbell
Farmer's Walk,Forearms,Other
Standing Palms-Up Barbell Behind The Back Wrist Curl,Forearms,Barbell
Finger Curls,Forearms,Barbell
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable
Wrist Roller,Forearms,Other
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell
Seated Palms-Down Barbell Wrist Curl,Forearms,Barbell
Dumbbell Lying Supination,Forearms,Dumbbell
Dumbbell Lying Pronation,Forearms,Dumbbell
Seated Palm-Up Barbell Wrist Curl,Forearms,Barbell
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell
Weighted Pull Ups,Lats,Other
Pullups,Lats,Body Only
Chin-Up,Lats,Body Only
Rocky Pull-Ups/Pulldowns,Lats,Other
V-Bar Pulldown,Lats,Cable
Muscle Up,Lats,Other
Shotgun Row,Lats,Cable
Wide-Grip Pull-Up,Lats,Body Only
Close-Grip Front Lat Pulldown,Lats,Cable
V-Bar Pullup,Lats,Body Only
Wide-Grip Rear Pull-Up,Lats,Body Only
Rope Straight-Arm Pulldown,Lats,Cable
Rope Climb,Lats,Other
Wide-Grip Lat Pulldown,Lats,Cable
Underhand Cable Pulldowns,Lats,Cable
T-Bar Row with Handle,MiddleBack,Barbell
Reverse Grip Bent-Over Rows,MiddleBack,Barbell
One-Arm Long Bar Row,MiddleBack,Barbell
One-Arm Dumbbell Row,MiddleBack,Dumbbell
Bent Over One-Arm Long Bar Row,MiddleBack,Barbell
T-Bar Row,MiddleBack,Barbell
Bent Over Two-Arm Long Bar Row,MiddleBack,Barbell
Dumbbell Incline Row,MiddleBack,Dumbbell
Bodyweight Mid Row,MiddleBack,Other
Bent Over Two-Dumbbell Row With Palms In,MiddleBack,Dumbbell
Seated Cable Rows,MiddleBack,Cable
Bent Over Barbell Row,MiddleBack,Barbell
Alternating Renegade Row,MiddleBack,Kettlebells
Seated One-arm Cable Pulley Rows,MiddleBack,Cable
Man Maker,MiddleBack,Dumbbell
Atlas Stones,LowerBack,Other
Deficit Deadlift,LowerBack,Barbell
Axle Deadlift,LowerBack,Other
Hyperextensions (Back Extensions),LowerBack,Other
Hyperextensions With No Hyperextension Bench,LowerBack,Body Only
Deadlift with Resistance Bands,LowerBack,Barbell
Deadlift with Chains,LowerBack,Barbell
Rack Pull with Resistance Bands,LowerBack,Barbell
Rack Pulls,LowerBack,Barbell
Superman,LowerBack,Body Only
Weighted Ball Hyperextension,LowerBack,Exercise Ball
Seated Back Extension,LowerBack,Machine
Stiff Leg Barbell Good Morning,LowerBack,Barbell
Seated Good Mornings,LowerBack,Barbell
Atlas Stone Trainer,LowerBack,Other
Lying Face Down Plate Neck Resistance,Neck,Other
Lying Face Up Plate Neck Resistance,Neck,Other
Seated Head Harness Neck Resistance,Neck,Other
Isometric Neck Exercise - Sides,Neck,Body Only
Isometric Neck Exercise - Front And Back,Neck,Body Only
Neck Bridge Prone,Neck,Body Only
Side Neck Stretch,Neck,None
Chin To Chest Stretch,Neck,None
Neck-SMR,Neck,Other
Single-Leg Press,Quadriceps,Machine
Clean from Blocks,Quadriceps,Barbell
Barbell Full Squat,Quadriceps,Barbell
Tire Flip,Quadriceps,Other
Snatch,Quadriceps,Barbell
Hang Clean,Quadriceps,Barbell
Box Squat,Quadriceps,Barbell
Reverse Band Box Squat,Quadriceps,Barbell
Front Squats With Two Kettlebells,Quadriceps,Kettlebells
Single Leg Push-off,Quadriceps,Other
Barbell Walking Lunge,Quadriceps,Barbell
Olympic Squat,Quadriceps,Barbell
Kettlebell Pistol Squat,Quadriceps,Kettlebells
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell
Clean Deadlift,Hamstrings,Barbell
Barbell Deadlift,Hamstrings,Barbell
Sumo Deadlift,Hamstrings,Barbell
Power Snatch,Hamstrings,Barbell
Romanian Deadlift from Deficit,Hamstrings,Barbell
Power Clean from Blocks,Hamstrings,Barbell
